codigo,nome,categoria_prazo,observacao
1059,Sem efeito suspensivo,,
1061,Disponibilização no Diário da Justiça Eletrônico,gatilho_provavel,Disponibilização no Diário da Justiça Eletrônico — gatilho central em processo eletrônico; prazo conta do 1º dia útil seguinte (Lei 11.419/2006 art. 4º §3º).
1063,Determinação de arquivamento de procedimentos investigatórios,,
10953,Pronúncia,,
10966,Mudança de Classe Processual,,
11010,Mero expediente,,
11014,Convenção das Partes para Cumprimento Voluntário da obrigação,,
11018,Recebimento de Embargos à Execução,,
11022,Julgamento em Diligência,,
11381,Ausência de citação de sucessores do réu falecido,citacao_especifica,"Ausência de citação de sucessores do réu falecido — citação específica, caso raro."
11383,Ato ordinatório,,
11384,Liquidação iniciada,,
11385,Execução/Cumprimento de Sentença Iniciada (o),,
11878,Prescrição,,
11983,Retificação de movimento,,
12065,Cumprimento de Suspensão ou Sobrestamento,,
12066,Cumprimento de Levantamento da Suspensão,,
12068,Levantamento da Suspensão ou Dessobrestamento,,
12104,Inclusão em pauta,,
12116,Para julgamento de mérito,,
12142,Mudança de Parte,,
12143,Mudança de Assunto Processual,,
12146,Liberdade Provisória,,
12164,Outras Decisões,,
12167,Enviada ao Tribunal,,
12174,Enviada ao Tribunal,,
12175,Preparada para Envio,,
12185,Decisão Interlocutória de Mérito,,
12187,Homologação de Decisão de Juiz Leigo,,
12215,Processo devolvido à Secretaria,,
12255,Redistribuição por prevenção,,
12259,"Prescrição intercorrente (art. 921, § 4º, CPC)",,
12264,Eletrônica,gatilho_possivel,Eletrônica — provável complemento/subtipo de 12281.
12265,Expedida/certificada,,
12266,Confirmada,,
12268,Em Secretaria,,
12281,Comunicação eletrônica,gatilho_possivel,Comunicação eletrônica — possível canal de Domicílio Judicial Eletrônico; regra de contagem pode diferir (verificar com mais casos).
12282,Expedida/Certificada,,
12283,Confirmada,,
12287,Expedida/Certificada,,
12288,Confirmada,,
12291,Movimentação processual,,
12298,Cancelamento de Dívida Ativa,,
12309,Retirada,,
12318,Reconhecimento de prevenção,,
12387,Decisão de Saneamento e Organização,,
12434,Conhecimento para dar provimento ao Recurso Especial,,
12435,Conhecimento para negar provimento ao recurso especial,,
12436,Conhecimento para não conhecer do Recurso Especial,,
12440,conhecimento para conhecer em parte o recurso especial e negar provimento,,
12444,deferimento,,
12445,Recurso Ordinário,,
12457,Expedição de precatório/rpv,preparatorio,Expedição de precatório/rpv — específico de execução.
12459,Prejudicado,,
12474,Distribuição,,
12531,Frutífera,,
12532,Infrutífera,,
12614,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,,
12619,Recebimento do CEJUSC ou Centros de Conciliação/Mediação,,
12621,Recebimento no CEJUSC ou Centros de Conciliação/Mediação,,
12648,Determinação de Diligência,,
12740,de Conciliação,,
12742,de Custódia,,
12743,de Interrogatório,,
12744,de Justificação,,
12747,Inicial,,
12749,de Instrução,,
12750,de Instrução e Julgamento,,
12751,de Julgamento,,
14093,Voto do Relator,,
14099,Homologação de Acordo em Execução ou em Cumprimento de Sentença,,
14732,Conversão de Autos Físicos em Eletrônicos,,
14736,Inclusão no Juízo 100% Digital,,
14737,Exclusão do Juízo 100% Digital,,
14738,Retificação de Classe Processual,,
14739,Evolução da Classe Processual,,
14904,Agendada,,
14961,Erro ou Recusa na Comunicação,sinal_negativo,Erro ou Recusa na Comunicação — comunicação FALHOU; não deve disparar contagem de prazo. Importante para evitar falso positivo.
14999,Iniciada Tramitação Direta entre MP e Autoridade Policial,,
15085,Emenda à Inicial,,
15101,Conclusão,,
15164,Não Acolhimento de Embargos de Declaração,,
15185,Cooperação Judiciária,,
